date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:48	25/25	---M--	200	added ('OK')	text/plain	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/robots.txt		(from )
14:04:48	29095/29095	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/index.html	(from )
14:04:48	28026/28026	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/fav.png	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/fav.png	(from https://www.mahadevbook.com/)
14:04:48	4562/4562	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/css/owl.css	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/css/owl.css	(from https://www.mahadevbook.com/)
14:04:49	25922/25922	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/css/main.css?v1.5	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/css/main0be4.css	(from https://www.mahadevbook.com/)
14:04:49	14540/14540	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/css/responsive.css	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/css/responsive.css	(from https://www.mahadevbook.com/)
14:04:49	92980/92980	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/js/jquery.min.js	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/js/jquery.min.js	(from https://www.mahadevbook.com/)
14:04:49	89536/89536	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/js/owl.js	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/js/owl.js	(from https://www.mahadevbook.com/)
14:04:50	3333/3333	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/js/at-jquery.js	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/js/at-jquery.js	(from https://www.mahadevbook.com/)
14:04:50	10509/10509	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/js/scripts.js	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/js/scripts.js	(from https://www.mahadevbook.com/)
14:04:50	108696/108696	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2024%20Feb%202023%2008:34:50%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/mahadev%20book/connect.facebook.net/en_US/fbevents.js	(from https://www.mahadevbook.com/)
14:04:51	29095/29095	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/index.html	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/index-2.html	(from https://www.mahadevbook.com/)
14:04:51	173628/173628	---M--	200	added ('OK')	image/gif	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/cards.gif	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/cards.gif	(from https://www.mahadevbook.com/)
14:04:51	118892/118892	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/players.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/players.webp	(from https://www.mahadevbook.com/)
14:04:51	33262/33262	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g9.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g9.webp	(from https://www.mahadevbook.com/)
14:04:52	41426/41426	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g1.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g1.webp	(from https://www.mahadevbook.com/)
14:04:52	4886269/4886269	---M--	200	added ('OK')	image/gif	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/lightLogo.gif	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/lightLogo.gif	(from https://www.mahadevbook.com/)
14:04:52	21008/21008	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g2.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g2.webp	(from https://www.mahadevbook.com/)
14:04:52	45374/45374	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g3.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g3.webp	(from https://www.mahadevbook.com/)
14:04:52	33380/33380	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g4.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g4.webp	(from https://www.mahadevbook.com/)
14:04:53	19474/19474	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g5.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g5.webp	(from https://www.mahadevbook.com/)
14:04:53	45750/45750	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g6.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g6.webp	(from https://www.mahadevbook.com/)
14:04:53	41514/41514	---M--	200	added ('OK')	image/webp	date:Tue,%2026%20Oct%202021%2010:10:10%20GMT	https://www.mahadevbook.com/images/g7.webp	C:/My%20Web%20Sites/mahadev%20book/www.mahadevbook.com/images/g7.webp	(from https://www.mahadevbook.com/)
